ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21
FBgn0000008	6.726	3.016	2.799	3.65	4.148	4.724	2.569	2.244
FBgn0000008	6.534	2.915	2.715	3.508	4.007	4.563	2.47	2.171
FBgn0000014	3.442	2.685	3.278	3.037	3.169	2.915	3.087	3.159
FBgn0000015	4.79	4.081	5.682	4.611	5.617	4.699	3.649	4.099
FBgn0000015	3.948	3.083	4.322	3.803	4.516	3.716	2.94	3.245
FBgn0000015	4.633	3.867	5.506	4.348	5.201	4.384	3.522	3.854
FBgn0000015	5.082	4.299	6.298	4.862	5.904	5.059	3.929	4.373
FBgn0000017	8.021	7.33	5.525	7.365	7.256	7.305	6.219	7.991
FBgn0000017	7.681	7.173	5.384	7.089	7.023	6.737	6.175	7.97
FBgn0000017	7.788	7.158	5.377	7.174	7.007	7.078	6.032	7.773
FBgn0000018	7.65	9.4	9.072	7.976	9.685	8.908	8.832	8.493
FBgn0000022	0	0	0	0	0	0	0.11	0
FBgn0000024	15.356	15.278	4.801	6.075	6.653	7.92	7.249	9.241
FBgn0000024	14.724	13.885	3.953	6.112	6.057	7.426	6.517	9.087
FBgn0000028	3.974	5.137	4.791	4.767	5.264	5.239	4.774	4.368
FBgn0000028	3.193	4.129	3.772	3.785	4.182	4.042	3.876	3.805
FBgn0000028	3.865	4.996	4.66	4.636	5.12	5.095	4.643	4.248
FBgn0000028	3.926	5.076	4.734	4.71	5.201	5.176	4.717	4.316
FBgn0000032	14.964	15.721	15.484	13.16	13.162	14.134	13.773	14.321
FBgn0000032	15.276	16.093	15.359	13.405	13.67	14.294	13.858	14.434
FBgn0000038	6.711	7.172	7.473	5.587	5.149	6.127	5.884	6.484
FBgn0000042	850.549	861.237	1245.811	1302.395	1310.28	1214.206	877.78	1023.423
FBgn0000044	1009.358	872.462	873.288	1021.397	1094.829	1208.257	970.113	1049.438
FBgn0000045	152.88	119.296	133.6	129.545	109.581	135.286	106.605	102.138
FBgn0000045	158.86	124.35	139.36	134.272	113.659	140.455	111.024	106.218
FBgn0000047	35.268	36.08	50.196	47.635	49.047	40.273	23.026	22.781
FBgn0000052	91.612	369.047	99.506	145.649	156.148	160.927	229.845	387.773
FBgn0000052	91.034	366.737	98.906	144.73	155.207	159.937	228.395	385.373
FBgn0000052	91.673	370.266	99.533	146.302	156.68	161.454	229.915	389.038
FBgn0000055	3162.644	3752.404	6886.708	6813.736	6645.802	7501.258	4557.55	4092.762
FBgn0000056	3162.644	3752.404	6886.708	6813.736	6645.802	7501.258	4557.55	4092.762
FBgn0000056	16.785	18.489	11.894	11.98	14.267	12.064	13.677	17.013
FBgn0000057	27.135	28.207	27.877	27.204	28.869	26.686	24.123	28.549
FBgn0000061	0.231	0.262	0.264	0.282	0.419	0.417	0.392	0.147
FBgn0000063	4.786	5.477	5.85	4.157	6.132	4.421	5.48	5.211
FBgn0000064	1035.119	1085.813	1021.258	1079.995	1056.929	1132.79	914.881	962.756
FBgn0000064	926.4	981.356	925.009	961.636	939.735	1015.11	819.635	861.349
FBgn0000064	1094.452	1166.746	1122.307	1144.324	1121.538	1214.59	972.856	1034.748
FBgn0000064	1034.252	1092.87	1023.819	1074.503	1046.105	1135.866	914.883	961.487
FBgn0000064	1271.298	1353.618	1295.902	1333.37	1301.873	1414.167	1130.692	1200.151
FBgn0000071	0.328	0.413	0.47	0.612	0.496	0.565	0.664	0.436
FBgn0000075	1.303	1.143	1.066	1.137	0.897	1.923	1.526	0.853
FBgn0000077	9.764	9.466	10.668	10.98	9.418	11.389	12.477	9.694
FBgn0000079	1181.148	1944.467	1356.06	1447.534	1860.709	2122.647	2181.133	1861.833
FBgn0000083	213.654	231.9	240.413	250.434	282.474	286.238	234.796	265.103
FBgn0000083	194.679	211.581	219.673	228.621	257.351	260.89	214.278	241.627
FBgn0000083	177.389	197.305	203	209.141	239.004	239.539	191.556	224.525
FBgn0000084	54.322	58.515	58.232	62.253	65.12	70.761	59.22	57.383
FBgn0000092	4.863	1.791	2.95	3.522	1.869	2.767	5.003	2.168
FBgn0000094	564.977	456.081	468.448	441.034	377.421	709.234	340.949	384.601
FBgn0000097	8.461	7.881	7.095	9.244	9.21	8.313	6.405	9.7
FBgn0000097	9.205	8.935	8.069	9.922	9.927	9.442	7.174	10.664
FBgn0000108	4.182	3.628	3.314	3.733	4.279	3.481	3.385	4.675
FBgn0000108	4.61	3.879	2.907	3.945	4.379	3.745	3.503	4.94
FBgn0000108	4.651	3.917	3.025	3.963	4.379	3.786	3.56	5.002
FBgn0000109	20.213	18.495	23.94	24.121	25.196	20.905	25.697	21.173
FBgn0000114	107.644	112.052	103.024	99.131	94.24	101.837	87.184	103.006
FBgn0000114	84.603	86.24	77.551	76.272	72.341	79.219	66.784	79.127
FBgn0000114	78.986	89.73	86.972	79.385	74.727	83.567	71.065	77.344
FBgn0000114	89.847	102.069	98.834	90.171	84.83	94.98	80.749	87.933
