ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
ENSRNOG00000033426	0.00325079500711	0.0769230769231	0.0302438462314597	24	22	0.519467550617
ENSRNOG00000034242	0.028211738371	0.478521478521	0.0578698003272245	24	0	0.355365410954
ENSRNOG00000013741	0.00791648473121	0.203796203796	0.0379359185960971	24	12	0.499870184887
ENSRNOG00000020513	0.00791648473121	0.203796203796	0.0379359185960971	24	22	0.295487222266
ENSRNOG00000010067	0.125018131447	0.923076923077	0.133246583439165	24	2	0.374210088351
ENSRNOG00000018091	0.00994072256883	0.243756243756	0.0403195895307105	24	12	0.251747314688
ENSRNOG00000057623	0.000838482487396	0.023976023976	0.0227730251521398	24	16	0.297903263358
ENSRNOG00000012999	0.0153767828532	0.328671328671	0.0464605663923918	24	0	0.275684865547
ENSRNOG00000009960	0.0216931940675	0.411588411588	0.0521298720661679	24	14	0.349895269998
ENSRNOG00000009090	0.0176832693665	0.363636363636	0.0486197851475208	24	2	0.34750803336
ENSRNOG00000003495	0.0202787148185	0.398601398601	0.050844893347875	24	6	0.31024128962
ENSRNOG00000000701	0.0461576225122	0.629370629371	0.0716490857679429	24	0	0.193709068581
ENSRNOG00000019987	0.000132572258814	0.0087497690817	0.0179181324609631	24	22	0.519058095546
ENSRNOG00000017158	0.0247731204479	0.44955044955	0.0550104285237003	24	12	0.209271393014
ENSRNOG00000000557	0.028211738371	0.478521478521	0.0578698003272245	24	12	0.310867536588
ENSRNOG00000013545	0.0461576225122	0.629370629371	0.0716490857679429	24	16	0.343193784318
ENSRNOG00000019164	0.0216931940675	0.411588411588	0.0521298720661679	24	8	0.867399650611
ENSRNOG00000014058	0.113837118185	0.908091908092	0.124025016416726	24	6	0.205901265523
ENSRNOG00000009042	0.0409804972573	0.587412587413	0.0678331953154826	24	12	0.358109003819
ENSRNOG00000007512	0.000568165110818	0.016983016983	0.0219158519712157	24	4	0.249827771722
ENSRNOG00000022448	0.0143238058125	0.312687312687	0.0454637808379368	24	18	0.448712207265
ENSRNOG00000005184	0.0189432124608	0.381618381618	0.0497339005643365	24	16	0.251102271987
ENSRNOG00000045791	0.0133335259569	0.2997002997	0.0443202891266825	24	22	0.262135020722
ENSRNOG00000014633	0.0124029428158	0.291708291708	0.0432277184635953	24	8	0.415733635602
ENSRNOG00000036686	0.00238787135412	0.0599400599401	0.0284588811362594	24	18	0.357939841637
ENSRNOG00000023946	0.0247731204479	0.44955044955	0.0550104285237003	24	16	0.555162330373
ENSRNOG00000022323	0.00453864678294	0.113886113886	0.0325965991753829	24	16	0.358441182329
ENSRNOG00000014429	0.15625110979	0.967032967033	0.160553744360691	24	2	0.41987609325
ENSRNOG00000003551	0.00298517768102	0.0719280719281	0.0296874709702829	24	4	0.267933569835
ENSRNOG00000002940	0.0580810336736	0.716283716284	0.0802770708597588	24	14	0.265548109181
ENSRNOG00000014305	0.0264457566874	0.463536463536	0.0564182716305271	24	14	0.40468038884
ENSRNOG00000049223	0.00578550970664	0.151848151848	0.0345780898727283	24	18	0.376656955776
ENSRNOG00000009689	0.00791648473121	0.203796203796	0.0379359185960971	24	16	0.389297235193
ENSRNOG00000013255	0.00994072256883	0.243756243756	0.0403195895307105	24	14	0.38836583212
ENSRNOG00000057774	0.00122294437495	0.033966033966	0.0242400002263473	24	22	0.313188253685
ENSRNOG00000004723	0.0264457566874	0.463536463536	0.0564182716305271	24	10	0.435594245234
ENSRNOG00000050932	0.0762419305899	0.803196803197	0.0940828712132016	24	6	0.461983104214
ENSRNOG00000012751	0.0803445539138	0.826173826174	0.0971823175202859	24	12	0.253931501281
ENSRNOG00000052289	0.00492467121601	0.121878121878	0.0333986493175866	24	12	0.250495675587
ENSRNOG00000027015	0.113837118185	0.908091908092	0.124025016416726	24	8	0.301201859612
ENSRNOG00000007732	0.0803445539138	0.826173826174	0.0971823175202859	24	12	0.413150128908
ENSRNOG00000010420	0.0489364853385	0.65034965035	0.0736966810699555	24	16	0.318214042264
ENSRNOG00000002100	0.0143238058125	0.312687312687	0.0454637808379368	24	4	0.394651849752
ENSRNOG00000013845	0.0385743821384	0.57042957043	0.0659425624345818	24	18	0.381643248618
ENSRNOG00000055756	0.0153767828532	0.328671328671	0.0464605663923918	24	8	0.507018419683
ENSRNOG00000002112	0.028211738371	0.478521478521	0.0578698003272245	24	12	0.342915179213
