ID	pvalue	algorithm
ENSMUSG00000000001	0.802323234776287	ARS
ENSMUSG00000001175	0.00493263874582861	ARS
ENSMUSG00000001986	0.00131527377085083	ARS
ENSMUSG00000002771	0.118423676150294	ARS
ENSMUSG00000005034	0.0128885502765264	ARS
ENSMUSG00000005469	0.505042721838961	ARS
ENSMUSG00000005580	0.692299282112615	ARS
ENSMUSG00000015968	0.190233563663514	ARS
ENSMUSG00000019370	0.0153063161688858	ARS
ENSMUSG00000020431	0.103777454877519	ARS
ENSMUSG00000020524	0.345568660264506	ARS
ENSMUSG00000020654	0.319581154941509	ARS
ENSMUSG00000020734	0.790132355699488	ARS
ENSMUSG00000020866	0.647937205063327	ARS
ENSMUSG00000020893	0.0163556626949994	ARS
ENSMUSG00000021180	0.42349007584897	ARS
ENSMUSG00000021250	0.498795529072625	ARS
ENSMUSG00000021313	0.237627254800626	ARS
ENSMUSG00000021536	0.370157259785841	ARS
ENSMUSG00000021820	0.333324188921807	ARS
ENSMUSG00000021933	0.393144538578117	ARS
ENSMUSG00000022220	0.00131193987584388	ARS
ENSMUSG00000022376	0.336912701928589	ARS
ENSMUSG00000022416	0.393144538578117	ARS
ENSMUSG00000022840	0.208266444410882	ARS
ENSMUSG00000022994	0.635212633687938	ARS
ENSMUSG00000023439	0.1581538872224	ARS
ENSMUSG00000024112	0.0512099166752021	ARS
ENSMUSG00000024256	0.439638785179286	ARS
ENSMUSG00000024617	0.477827128649722	ARS
ENSMUSG00000024639	0.58117076343284	ARS
ENSMUSG00000024960	0.707756283890325	ARS
ENSMUSG00000025739	0.38640952165733	ARS
ENSMUSG00000025892	0.683011708536186	ARS
ENSMUSG00000025958	0.25572531494497	ARS
ENSMUSG00000026567	0.261030580621249	ARS
ENSMUSG00000026824	0.187140337700369	ARS
ENSMUSG00000026959	0.541816374543431	ARS
ENSMUSG00000027523	0.00262775363233247	ARS
ENSMUSG00000027669	0.434010069679016	ARS
ENSMUSG00000028957	0.00220049416141144	ARS
ENSMUSG00000029064	0.00116234907174428	ARS
