ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
FBgn0000008	0.333333333333333	1	0.367133174896576	18	12	2.62513392515506
FBgn0000008	0.0833333333333333	0.583333333333333	0.146227738045155	24	21	1.87560073709732
FBgn0000014	0.333333333333333	1	0.367133174896576	18	6	1.20066731445476
FBgn0000015	0.333333333333333	1	0.367133174896576	24	6	0.721602470200872
FBgn0000015	0.0833333333333333	0.583333333333333	0.146227738045155	24	21	0.534926279967623
FBgn0000015	0.0833333333333333	0.583333333333333	0.146227738045155	18	9	0.605106628000388
FBgn0000015	0.0833333333333333	0.583333333333333	0.146227738045155	24	21	0.795848682225459
FBgn0000017	0.333333333333333	1	0.367133174896576	18	12	1.49340952186599
FBgn0000017	0.0833333333333333	0.583333333333333	0.146227738045155	18	0	1.47962093963285
FBgn0000017	0.75	1	0.75	18	0	1.42075430009907
FBgn0000018	0.0833333333333333	0.583333333333333	0.146227738045155	18	9	0.864968370086445
FBgn0000022	0.0833333333333333	0.583333333333333	0.146227738045155	24	9	0.05939696961967
FBgn0000024	0.0833333333333333	0.583333333333333	0.146227738045155	24	6	0.596444569930853
FBgn0000024	0.0833333333333333	0.583333333333333	0.146227738045155	24	12	0.538108260482963
FBgn0000028	0.0833333333333333	0.583333333333333	0.146227738045155	18	9	0.11773327906756
FBgn0000028	0.0833333333333333	0.583333333333333	0.146227738045155	18	15	0.0880347942577252
FBgn0000028	0.333333333333333	1	0.367133174896576	24	18	0.120208152801713
FBgn0000028	0.75	1	0.75	18	15	0.0859134739141655
FBgn0000032	0.0833333333333333	0.583333333333333	0.146227738045155	24	21	2.31931024229188
FBgn0000032	0.0833333333333333	0.583333333333333	0.146227738045155	24	12	2.23587164211186
FBgn0000038	0.0833333333333333	0.583333333333333	0.146227738045155	18	15	0.231577470838594
FBgn0000042	0.0833333333333333	0.583333333333333	0.146227738045155	24	15	119.927784962973
FBgn0000044	0.333333333333333	1	0.367133174896576	18	0	556.215497382197
FBgn0000045	0.0833333333333333	0.583333333333333	0.146227738045155	18	9	1.16354420844246
FBgn0000045	0.0833333333333333	0.583333333333333	0.146227738045155	18	12	0.825723943730591
FBgn0000047	0.333333333333333	1	0.367133174896576	18	3	0.0774281925399269
FBgn0000052	0.0833333333333333	0.583333333333333	0.146227738045155	18	15	79.518753738505
FBgn0000052	0.0833333333333333	0.583333333333333	0.146227738045155	24	12	54.9386613642888
FBgn0000052	0.0833333333333333	0.583333333333333	0.146227738045155	18	12	31.7529835625725
FBgn0000055	0.0833333333333333	0.583333333333333	0.146227738045155	18	15	2744.79866639543
FBgn0000056	0.0833333333333333	0.583333333333333	0.146227738045155	24	12	3095.45999025365
FBgn0000056	0.0833333333333333	0.583333333333333	0.146227738045155	18	12	1.15788735419297
FBgn0000057	0.0833333333333333	0.583333333333333	0.146227738045155	18	12	2.0499025586598
FBgn0000061	0.333333333333333	1	0.367133174896576	24	18	0.418960767853029
FBgn0000063	0.333333333333333	1	0.367133174896576	18	15	0.582302434307122
FBgn0000064	0.333333333333333	1	0.367133174896576	24	18	15.7737845213189
FBgn0000064	0.0833333333333333	0.583333333333333	0.146227738045155	24	12	13.8479792027573
FBgn0000064	0.75	1	0.75	18	0	44.4575711001512
FBgn0000064	0.333333333333333	1	0.367133174896576	18	6	23.8218971280889
FBgn0000064	0.333333333333333	1	0.367133174896576	18	12	52.580106695641
FBgn0000071	0.333333333333333	1	0.367133174896576	18	15	0.23705754839279
