ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21
FBgn0000008	6.726	4.148	2.799	3.016	4.724	2.569	3.65	2.244
FBgn0000008	3.508	2.171	4.563	2.47	2.715	2.915	4.007	6.534
FBgn0000014	3.087	3.442	3.169	2.915	3.159	3.037	3.278	2.685
FBgn0000015	4.79	5.617	4.099	5.682	4.699	3.649	4.611	4.081
FBgn0000015	4.322	3.083	4.516	3.948	3.245	3.716	2.94	3.803
FBgn0000015	4.384	3.867	5.201	3.522	5.506	4.633	4.348	3.854
FBgn0000015	5.904	6.298	4.862	4.373	3.929	5.059	4.299	5.082
FBgn0000017	6.219	7.305	7.991	7.256	8.021	7.33	7.365	5.525
FBgn0000017	7.023	6.175	6.737	7.681	7.97	7.173	7.089	5.384
FBgn0000017	7.788	7.773	7.007	7.158	5.377	7.174	7.078	6.032
FBgn0000018	9.072	9.4	8.908	7.976	9.685	8.832	8.493	7.65
FBgn0000022	0	0	0	0	0	0.11	0	0
FBgn0000024	15.278	7.92	6.075	15.356	6.653	4.801	7.249	9.241
FBgn0000024	13.885	14.724	6.057	6.517	6.112	7.426	3.953	9.087
FBgn0000028	4.774	3.974	4.368	4.767	4.791	5.137	5.239	5.264
FBgn0000028	4.129	3.785	3.876	4.042	3.772	3.805	4.182	3.193
FBgn0000028	4.66	5.12	3.865	5.095	4.248	4.996	4.636	4.643
FBgn0000028	4.717	5.176	5.201	4.316	3.926	4.734	5.076	4.71
FBgn0000032	14.964	13.16	13.162	13.773	14.321	14.134	15.721	15.484
FBgn0000032	15.359	16.093	13.67	13.405	14.434	14.294	13.858	15.276
FBgn0000038	5.149	6.711	6.127	6.484	7.473	5.884	7.172	5.587
FBgn0000042	1245.811	850.549	877.78	1214.206	861.237	1310.28	1023.423	1302.395
FBgn0000044	1094.829	1009.358	1208.257	1049.438	872.462	970.113	873.288	1021.397
FBgn0000045	102.138	109.581	129.545	135.286	119.296	106.605	133.6	152.88
FBgn0000045	106.218	111.024	113.659	134.272	140.455	124.35	139.36	158.86
FBgn0000047	50.196	47.635	22.781	23.026	40.273	35.268	49.047	36.08
FBgn0000052	156.148	369.047	160.927	99.506	387.773	91.612	229.845	145.649
FBgn0000052	98.906	144.73	385.373	159.937	366.737	155.207	228.395	91.034
FBgn0000052	389.038	161.454	146.302	91.673	229.915	370.266	99.533	156.68
FBgn0000055	6886.708	3162.644	3752.404	4557.55	7501.258	4092.762	6813.736	6645.802
FBgn0000056	6645.802	4557.55	6813.736	7501.258	3162.644	3752.404	4092.762	6886.708
FBgn0000056	18.489	11.894	11.98	14.267	13.677	12.064	17.013	16.785
FBgn0000057	27.135	24.123	28.207	28.549	26.686	27.204	27.877	28.869
FBgn0000061	0.262	0.419	0.264	0.147	0.417	0.282	0.392	0.231
FBgn0000063	4.157	4.786	5.48	5.85	5.477	6.132	5.211	4.421
FBgn0000064	1079.995	1056.929	914.881	1021.258	962.756	1132.79	1035.119	1085.813
FBgn0000064	981.356	961.636	1015.11	939.735	926.4	819.635	925.009	861.349
FBgn0000064	1214.59	972.856	1034.748	1121.538	1144.324	1094.452	1166.746	1122.307
FBgn0000064	1034.252	1023.819	961.487	1046.105	914.883	1092.87	1135.866	1074.503
FBgn0000064	1271.298	1295.902	1414.167	1130.692	1200.151	1333.37	1353.618	1301.873
FBgn0000071	0.612	0.436	0.496	0.565	0.664	0.47	0.413	0.328
FBgn0000075	1.143	1.923	1.066	0.853	1.303	1.137	1.526	0.897
FBgn0000077	10.668	9.764	9.694	10.98	12.477	11.389	9.466	9.418
FBgn0000079	2122.647	1861.833	1181.148	1860.709	1356.06	1944.467	1447.534	2181.133
FBgn0000083	286.238	231.9	240.413	234.796	250.434	282.474	265.103	213.654
FBgn0000083	260.89	228.621	241.627	257.351	194.679	214.278	211.581	219.673
FBgn0000083	209.141	239.004	191.556	203	239.539	197.305	224.525	177.389
FBgn0000084	58.232	65.12	62.253	54.322	70.761	59.22	57.383	58.515
FBgn0000092	4.863	2.168	3.522	1.869	2.95	2.767	1.791	5.003
FBgn0000094	709.234	468.448	564.977	456.081	340.949	441.034	384.601	377.421
FBgn0000097	9.21	8.461	8.313	9.7	9.244	6.405	7.095	7.881
FBgn0000097	8.935	9.442	9.922	9.205	8.069	10.664	7.174	9.927
FBgn0000108	3.733	3.385	3.314	4.182	4.279	3.481	3.628	4.675
FBgn0000108	4.94	4.61	3.503	3.879	3.745	2.907	3.945	4.379
FBgn0000108	3.56	4.379	3.917	3.786	3.025	3.963	5.002	4.651
FBgn0000109	20.905	21.173	24.121	18.495	20.213	25.697	23.94	25.196
FBgn0000114	112.052	107.644	101.837	103.006	103.024	99.131	94.24	87.184
FBgn0000114	72.341	76.272	77.551	66.784	79.127	86.24	84.603	79.219
FBgn0000114	71.065	79.385	83.567	78.986	89.73	86.972	74.727	77.344
FBgn0000114	102.069	89.847	90.171	94.98	98.834	80.749	84.83	87.933
FBgn0000116	456.776	389.22	373.879	449.934	339.757	424.554	365.741	413.639
FBgn0000116	562.017	684.677	593.147	507.028	641.637	550.381	697.505	625.309
FBgn0000116	452.961	425.689	462.775	400.479	494.441	501.35	410.029	372.055
FBgn0000120	0.275	0.043	0.115	0.06	0.097	0.036	0.151	0.162
FBgn0000121	0.108	0.102	0.154	0.131	0.086	0.164	0.183	0.139
FBgn0000139	28.068	31.301	26.243	26.153	40.08	42.897	32.998	43.09
FBgn0000150	802.208	689.926	865.79	971.448	739.809	963.256	617.103	1046.205
FBgn0000157	1.688	1.722	1.593	1.713	1.744	1.657	1.389	1.75
FBgn0000157	1.259	1.572	1.467	1.584	1.574	1.577	1.372	1.556
FBgn0000158	0.807	0.636	0.764	1.417	1.012	0.958	0.775	1.039
FBgn0000163	9.944	11.285	11.878	11.364	8.369	12.298	8.844	11.572
FBgn0000166	0.101	0.198	0.105	0.17	0.16	0.037	0.062	0.236
FBgn0000166	0.101	0.238	0.063	0.199	0.161	0.171	0.106	0.038
FBgn0000166	0.169	0.196	0.104	0.133	0.159	0.062	0.037	0.234
FBgn0000166	0.037	0.197	0.062	0.235	0.134	0.17	0.105	0.16
FBgn0000173	33.549	32.706	39.586	38.035	37.706	40.921	38.482	38.453
FBgn0000173	70.566	71.059	67.056	59.77	61.405	74.758	76.194	72.844
FBgn0000179	0.207	0.394	0.38	0.353	0.343	0.386	0.387	0.454
FBgn0000180	0.948	1.388	0.984	1.112	0.969	1.16	1.393	0.725
FBgn0000181	346.678	371.26	375.45	352.099	310.054	353.64	329.949	390.235
FBgn0000182	27.731	29.729	29.437	27.37	31.412	32.059	29.375	29.98
FBgn0000182	29.358	26.957	26.901	25.395	28.766	27.225	27.455	25.064
FBgn0000183	10.346	9.46	8.482	10	9.536	11.582	10.383	11.225
FBgn0000183	10.345	13.2	11.814	13.295	13.423	11.766	14.974	14.784
FBgn0000183	12.683	13.183	11.897	14.654	12.957	14.291	11.793	10.649
FBgn0000227	0	0	0.058	0	0	0.08	0.07	0
FBgn0000228	8.262	8.627	9.314	7.748	10.062	9.844	10.638	9.591
FBgn0000229	26.239	26.534	26.033	22.739	26.046	25.148	24.46	24.879
FBgn0000244	59.39	45.351	43.831	56.088	42.195	41.346	53.724	42.703
FBgn0000244	37.964	26.842	26.526	26.888	28.092	28.793	34.199	35.557
FBgn0000244	29.083	36.774	38.499	31.106	28.526	30.211	29.027	40.836
FBgn0000246	1.246	1.289	1.374	1.415	1.359	2.118	1.422	1.793
FBgn0000250	78.799	76.769	69.939	66.853	98.43	64.561	96.904	67.932
FBgn0000250	66.261	91.742	74.601	72.68	93.187	64.313	61.122	63.335
FBgn0000250	63.249	65.516	97.036	76.999	75.442	95.381	67.099	68.94
FBgn0000251	28.694	25.373	26.941	29.492	23.462	28.267	26.854	29.695
FBgn0000251	29.118	24.849	26.299	22.977	27.683	28.882	26.385	28.101
FBgn0000251	29.571	24.582	29.817	28.296	31.034	28.222	26.666	30.77
