ID	raw.pvalue	default.pvalue	BH.Q	period	phase	amplitude
AAEL000001	0.029044316539	0.43956043956	0.0648157853233722	24	18	393.360267
AAEL000004	0.0237956482341	0.382617382617	0.0597389357640294	24	14	1649.624067
AAEL000005	0.0307483788696	0.455544455544	0.0662786515859927	24	12	416.7792667
AAEL000005	0.067082394918	0.714285714286	0.0933958595912222	24	16	313.1700667
AAEL000006	0.0237956482341	0.382617382617	0.0597389357640294	24	22	756.508533
AAEL000008	0.0026728390473	0.0679320679321	0.0382134625277761	24	4	945.8223
AAEL000010	0.0329208528731	0.483516483516	0.067501352048067	24	22	3173.6546
AAEL000011	0.00701453172513	0.146853146853	0.0432670372039342	24	4	16.45703333
AAEL000012	0.00415608410721	0.102897102897	0.0398887608123327	24	16	54.24043334
AAEL000013	0.0154800637915	0.278721278721	0.0525750010495708	24	18	1811.568367
AAEL000016	0.00627191359039	0.137862137862	0.0414397273442279	24	8	2974.954466
AAEL000017	0.0532329746011	0.628371628372	0.0840948806019288	24	12	164.0230333
AAEL000018	0.0597946403758	0.669330669331	0.0876776021113238	24	10	40.72746666
AAEL000020	0.180773542113	0.969030969031	0.187853050463813	24	10	657.043267
AAEL000021	0.0270619316611	0.42957042957	0.0623983758840047	24	4	175.3346667
AAEL000021	0.00895156550785	0.17982017982	0.0456232538944266	24	14	124.43720003
AAEL000022	0.00126129397179	0.038961038961	0.036489624935202	24	16	1243.295133
AAEL000024	0.067082394918	0.714285714286	0.0933958595912222	24	2	794.8680003
AAEL000025	0.0329208528731	0.483516483516	0.067501352048067	24	0	11.30156667
AAEL000026	0.0567986679561	0.647352647353	0.0869324461437903	24	12	351.7060667
AAEL000027	0.160964919498	0.95004995005	0.169937857563633	24	16	33.2369
AAEL000028	0.00172544017587	0.0519480519481	0.0366665274204152	24	10	3273.422667
AAEL000028	0.0597946403758	0.669330669331	0.0876776021113238	24	20	5287.36127
AAEL000029	0.0329208528731	0.483516483516	0.067501352048067	24	20	17.45066667
AAEL000032	0.0307483788696	0.455544455544	0.0662786515859927	24	8	1653.81927
AAEL000033	0.0372777849552	0.521478521479	0.0710612251047646	24	2	129.4465666
AAEL000035	0.0751617331656	0.747252747253	0.100594071468026	24	12	949.2664663
AAEL000036	0.0785342693822	0.767232767233	0.101653070216376	24	20	98.1234
AAEL000037	0.00200877963643	0.0569430569431	0.0376134511545874	24	16	2340.984066
AAEL000038	0.0785342693822	0.767232767233	0.101653070216376	24	0	2231.746
AAEL000039	0.0396590858671	0.538461538462	0.0738833805415995	24	14	52.5647
AAEL000041	0.067082394918	0.714285714286	0.0933958595912222	24	8	251.4349667
AAEL000042	0.013512582067	0.253746253746	0.0497214921886941	24	18	529.6781667
AAEL000043	0.0035886947606	0.0879120879121	0.0395713408935493	24	22	47.39313333
AAEL000044	0.0372777849552	0.521478521479	0.0710612251047646	24	10	837.485233
AAEL000044	0.0255999212301	0.402597402597	0.0619039030914991	24	4	795.5828
AAEL000046	0.146217803655	0.928071928072	0.157570364151615	24	16	597.578733
AAEL000047	0.0270619316611	0.42957042957	0.0623983758840047	24	18	118.9878
AAEL000048	0.220042813896	0.988011988012	0.223694415601711	24	18	49.4955
AAEL000049	0.0473353643123	0.587412587413	0.0791234892092412	24	2	488.417234
AAEL000050	0.00232740232706	0.0629370629371	0.0382134625277761	24	0	793.5727
AAEL000051	0.0702527759224	0.721278721279	0.0963633100558255	24	4	4710.975133
AAEL000053	0.00543267574365	0.122877122877	0.0414397273442279	24	20	470.1589003
AAEL000055	0.0027031288487	0.0739260739261	0.0382134625277761	24	0	3347.534833
AAEL000057	0.0147861042441	0.262737262737	0.0522382693194904	24	14	88.3581
AAEL000058	0.00232740232706	0.0629370629371	0.0382134625277761	24	6	3.934966667
AAEL000063	0.0192965601855	0.325674325674	0.0556845197094801	24	16	33.15933333
AAEL000064	0.029044316539	0.43956043956	0.0648157853233722	24	14	605.978533
AAEL000065	0.00232740232706	0.0629370629371	0.0382134625277761	24	16	249.2982667
AAEL000066	0.0977376033413	0.828171828172	0.117998537172635	24	12	175.98579997
AAEL000069	0.067082394918	0.714285714286	0.0933958595912222	24	8	84.77806667
AAEL000071	0.0154800637915	0.278721278721	0.0525750010495708	24	12	804.966033
AAEL000073	0.0192965601855	0.325674325674	0.0556845197094801	24	12	9349.877503
AAEL000074	0.010275152505	0.1998001998	0.0479757789427032	24	12	1440.0301
AAEL000075	0.0237956482341	0.382617382617	0.0597389357640294	24	10	126.05783337
AAEL000076	0.201681824606	0.983016983017	0.206254166054199	24	22	928.5636
AAEL000077	0.0168978955163	0.301698301698	0.0535765862951314	24	22	2332.149867
AAEL000079	0.0421676044199	0.559440559441	0.0762242816508356	24	12	681.940834
AAEL000080	0.0421676044199	0.559440559441	0.0762242816508356	24	6	1068.680667
AAEL000081	0.044753897421	0.578421578422	0.0769736010409019	24	0	639.099067
AAEL000084	0.00543267574365	0.122877122877	0.0414397273442279	24	12	585.992334
AAEL000085	0.132602702653	0.908091908092	0.145072122271896	24	12	186.83400003
AAEL000087	0.00627191359039	0.137862137862	0.0414397273442279	24	18	1398.2283333
AAEL000088	0.0270619316611	0.42957042957	0.0623983758840047	24	20	309.098433
AAEL000089	0.0532329746011	0.628371628372	0.0840948806019288	24	4	296.6181334
AAEL000090	0.00200333714746	0.0529470529471	0.0376134511545874	24	0	1612.46313
AAEL000091	0.0035886947606	0.0879120879121	0.0395713408935493	24	0	2610.605433
AAEL000092	0.0220181137361	0.357642357642	0.0592001519146726	24	14	9.82543334
AAEL000094	0.0421676044199	0.559440559441	0.0762242816508356	24	16	143.56836663
AAEL000095	0.197940670468	0.978021978022	0.203245029873195	24	22	106.51936667
AAEL000097	0.0351068570132	0.495504495504	0.069791756610376	24	18	411.8473333
AAEL000098	0.0785342693822	0.767232767233	0.101653070216376	24	14	10.7217
AAEL000099	0.067082394918	0.714285714286	0.0933958595912222	24	16	198.4335334
AAEL000101	0.101420359538	0.844155844156	0.119706903907601	24	0	32.15506666
AAEL000102	0.0154800637915	0.278721278721	0.0525750010495708	24	12	1930.226533
AAEL000106	0.0192965601855	0.325674325674	0.0556845197094801	24	8	426.358866
AAEL000107	0.132602702653	0.908091908092	0.145072122271896	24	18	171.8084667
AAEL000108	0.0785342693822	0.767232767233	0.101653070216376	24	20	26.6599
AAEL000109	0.00608998217212	0.12987012987	0.0414397273442279	24	6	4294.630433
AAEL000111	0.0270619316611	0.42957042957	0.0623983758840047	24	16	1604.173366
AAEL000113	0.0106838443635	0.204795204795	0.0479757789427032	24	20	76.48843333
AAEL000115	0.128817241716	0.903096903097	0.142279611217539	24	20	75.8401666
AAEL000115	0.176896247743	0.966033966034	0.184519483140796	24	0	111.1844666
AAEL000116	0.0396590858671	0.538461538462	0.0738833805415995	24	14	194.8912666
AAEL000117	0.0876731779278	0.804195804196	0.109167957058405	24	0	128.7429667
AAEL000118	0.146217803655	0.928071928072	0.157570364151615	24	18	333.4745337
AAEL000119	0.0876731779278	0.804195804196	0.109167957058405	24	10	110.7085334
AAEL000122	0.0270619316611	0.42957042957	0.0623983758840047	24	4	195.2875
AAEL000123	0.00929107175742	0.188811188811	0.0456232538944266	24	8	1911.518533
AAEL000124	0.112647437255	0.862137862138	0.129448027711744	24	2	1763.6107663
AAEL000126	0.044753897421	0.578421578422	0.0769736010409019	24	20	608.925166
AAEL000127	0.000925981094701	0.030969030969	0.036489624935202	24	12	82.57083333
AAEL000128	0.0237956482341	0.382617382617	0.0597389357640294	24	10	852.008633
AAEL000134	0.101420359538	0.844155844156	0.119706903907601	24	20	497.131134
AAEL000137	0.00481133270407	0.112887112887	0.0405328232217238	24	6	330.1370337
AAEL000138	0.0372777849552	0.521478521479	0.0710612251047646	24	20	1811.163
AAEL000139	0.0396590858671	0.538461538462	0.0738833805415995	24	18	177.66179997
AAEL000140	0.0307483788696	0.455544455544	0.0662786515859927	24	12	417.214233
AAEL000143	0.101420359538	0.844155844156	0.119706903907601	24	4	122.9226334
AAEL000146	0.0147861042441	0.262737262737	0.0522382693194904	24	8	7.04873333
AAEL000147	0.0147861042441	0.262737262737	0.0522382693194904	24	14	451.481834
AAEL000148	0.0147861042441	0.262737262737	0.0522382693194904	24	18	631.174933
AAEL000149	0.044753897421	0.578421578422	0.0769736010409019	24	6	2358.317367
AAEL000151	0.00608998217212	0.12987012987	0.0414397273442279	24	8	25.70513334
AAEL000152	0.000291798094888	0.00699300699301	0.036489624935202	24	12	769.465166
AAEL000154	0.124925391066	0.882117882118	0.140387224656209	24	4	28.57496667
AAEL000157	0.0504471211271	0.611388611389	0.0812327162202402	24	18	222.5723
AAEL000159	0.0473353643123	0.587412587413	0.0791234892092412	24	2	1125.2248
AAEL000162	0.146217803655	0.928071928072	0.157570364151615	24	14	159.4692
AAEL000163	0.0168978955163	0.301698301698	0.0535765862951314	24	18	342.011766
AAEL000164	0.0255999212301	0.402597402597	0.0619039030914991	24	22	546.5651
AAEL000165	0.0627628831831	0.69030969031	0.0902170991757075	24	20	1156.8146
AAEL000165	0.0307483788696	0.455544455544	0.0662786515859927	24	14	469.6987663
AAEL000166	0.142329168215	0.921078921079	0.154200290978784	24	4	8805.209463
AAEL000170	0.0751617331656	0.747252747253	0.100594071468026	24	14	721.201133
AAEL000170	0.0255999212301	0.402597402597	0.0619039030914991	24	14	851.193467
AAEL000172	0.239627928981	0.993006993007	0.242289105166321	24	2	2000.3833
AAEL000173	0.0785342693822	0.767232767233	0.101653070216376	24	8	1493.131867
AAEL000174	0.0751617331656	0.747252747253	0.100594071468026	24	10	425.619667
AAEL000175	0.0183505987491	0.311688311688	0.0556845197094801	24	6	1044.9472
AAEL000176	0.012928792207	0.245754245754	0.0497214921886941	24	10	1180.115333
AAEL000178	0.105022174582	0.853146853147	0.122688647504622	24	4	686.3548
AAEL000179	0.0597946403758	0.669330669331	0.0876776021113238	24	0	4347.619103
AAEL000180	0.0307483788696	0.455544455544	0.0662786515859927	24	16	1043.426833
AAEL000181	0.0117870645598	0.230769230769	0.048276858725322	24	22	462.296834
AAEL000182	0.0351068570132	0.495504495504	0.069791756610376	24	22	2560.99306
AAEL000184	0.044753897421	0.578421578422	0.0769736010409019	24	12	533.319367
AAEL000185	0.0154800637915	0.278721278721	0.0525750010495708	24	18	1039.541266
AAEL000186	0.0532329746011	0.628371628372	0.0840948806019288	24	2	607.286867
AAEL000187	0.00807518145472	0.166833166833	0.0442507458623088	24	18	422.123067
AAEL000188	0.044753897421	0.578421578422	0.0769736010409019	24	4	15.79266667
AAEL000191	0.0532329746011	0.628371628372	0.0840948806019288	24	18	1209.363034
AAEL000193	0.0329208528731	0.483516483516	0.067501352048067	24	2	1801.6982
AAEL000194	0.00172393389896	0.046953046953	0.0366665274204152	24	18	1779.327433
AAEL000195	0.0168978955163	0.301698301698	0.0535765862951314	24	8	257.4193
AAEL000196	0.00895156550785	0.17982017982	0.0456232538944266	24	2	55.98736667
AAEL000199	0.000776861211316	0.024975024975	0.036489624935202	24	8	438.4220003
AAEL000200	0.0237956482341	0.382617382617	0.0597389357640294	24	10	1729.926567
AAEL000201	0.0220181137361	0.357642357642	0.0592001519146726	24	4	116.1214667
